label,odds_source,train_months,min_train_rows,min_predicted_ev,max_bets_per_day,ridge,candidate_count,selected_candidates,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
AVG_OPEN_train42_n240_ev0p0_top1_ridge10,AVG_OPEN,42,240,0.0,1,10.0,2063,439,439,407.5,9.28,161.7,24,17,6,2,6,2,0.3333
AVG_OPEN_train30_n120_ev0p04_top3_ridge10,AVG_OPEN,30,120,0.04,3,10.0,2063,877,877,810.7,9.24,173.2,24,17,6,2,6,2,0.3333
AVG_OPEN_train30_n240_ev0p04_top3_ridge10,AVG_OPEN,30,240,0.04,3,10.0,2063,877,877,810.7,9.24,173.2,24,17,6,2,6,2,0.3333
AVG_OPEN_train42_n120_evneg0p01_top1_ridge10,AVG_OPEN,42,120,-0.01,1,10.0,2063,443,443,409.5,9.24,161.7,24,17,6,2,6,2,0.3333
AVG_OPEN_train42_n240_evneg0p01_top1_ridge10,AVG_OPEN,42,240,-0.01,1,10.0,2063,443,443,409.5,9.24,161.7,24,17,6,2,6,2,0.3333
AVG_OPEN_train30_n120_ev0p02_top3_ridge10,AVG_OPEN,30,120,0.02,3,10.0,2063,904,904,775.9,8.58,173.2,22,19,6,2,6,2,0.3333
AVG_OPEN_train30_n240_ev0p02_top3_ridge10,AVG_OPEN,30,240,0.02,3,10.0,2063,904,904,775.9,8.58,173.2,22,19,6,2,6,2,0.3333
AVG_OPEN_train30_n120_evneg0p01_top3_ridge10,AVG_OPEN,30,120,-0.01,3,10.0,2063,932,932,770.5,8.27,186.9,22,19,6,2,6,2,0.3333
AVG_OPEN_train30_n240_evneg0p01_top3_ridge10,AVG_OPEN,30,240,-0.01,3,10.0,2063,932,932,770.5,8.27,186.9,22,19,6,2,6,2,0.3333
AVG_OPEN_train30_n120_ev0p0_top3_ridge10,AVG_OPEN,30,120,0.0,3,10.0,2063,923,923,758.3,8.22,193.7,22,19,6,2,6,2,0.3333
AVG_OPEN_train30_n240_ev0p0_top3_ridge10,AVG_OPEN,30,240,0.0,3,10.0,2063,923,923,758.3,8.22,193.7,22,19,6,2,6,2,0.3333
AVG_OPEN_train42_n120_ev0p02_top1_ridge10,AVG_OPEN,42,120,0.02,1,10.0,2063,430,430,454.8,10.58,161.7,26,15,6,1,6,1,0.1667
AVG_OPEN_train42_n240_ev0p02_top1_ridge10,AVG_OPEN,42,240,0.02,1,10.0,2063,430,430,454.8,10.58,161.7,26,15,6,1,6,1,0.1667
AVG_OPEN_train18_n120_ev0p04_top1_ridge10,AVG_OPEN,18,120,0.04,1,10.0,2063,411,411,425.6,10.36,144.1,27,14,6,1,6,1,0.1667
AVG_OPEN_train18_n240_ev0p04_top1_ridge10,AVG_OPEN,18,240,0.04,1,10.0,2063,411,411,425.6,10.36,144.1,27,14,6,1,6,1,0.1667
AVG_OPEN_train18_n120_ev0p02_top1_ridge10,AVG_OPEN,18,120,0.02,1,10.0,2063,419,419,409.3,9.77,144.1,26,15,6,1,6,1,0.1667
AVG_OPEN_train18_n240_ev0p02_top1_ridge10,AVG_OPEN,18,240,0.02,1,10.0,2063,419,419,409.3,9.77,144.1,26,15,6,1,6,1,0.1667
AVG_OPEN_train30_n120_ev0p02_top1_ridge10,AVG_OPEN,30,120,0.02,1,10.0,2063,426,426,406.7,9.55,161.7,23,18,6,1,6,1,0.1667
AVG_OPEN_train30_n240_ev0p02_top1_ridge10,AVG_OPEN,30,240,0.02,1,10.0,2063,426,426,406.7,9.55,161.7,23,18,6,1,6,1,0.1667
